age,study_hours_per_day,social_media_hours,attendance_percentage,sleep_hours,mental_health_rating,exam_score
22,4.1,2.5,85.1,5.8,5,70.2
22,5.3,1,72.6,4.5,8,81.3
22,1.7,2.9,97.5,6,6,50.2
18,6,3.6,92.3,7.1,3,87.9
20,4.1,2,90.4,5.4,6,80.9
22,2.4,0,92.2,4.8,7,63.9
21,3.4,2.7,100,6.6,6,65.6
23,4.3,3,100,7.5,10,93.2
18,3.6,3,78.1,4.5,6,74
18,4.3,4,100,7.5,1,60.8
20,2.1,1.2,88.8,7.5,3,50.4
18,3.8,3.3,90,7.6,7,74.3
18,1.4,3.9,68.1,8,4,32.8
22,3.3,0.4,83.3,9.1,4,82.3
20,2.1,2.9,76.9,6.1,7,60.4
22,2.4,1.9,93.3,6.6,9,60
23,5.4,2.4,95.7,6,2,77.5
24,5.1,2.9,64.3,6.5,9,86.5
23,4.4,1.9,84.8,8.3,3,76.9
24,1.9,1.7,96.2,4.9,6,43.9
22,3,2.5,83.1,5.5,4,51.3
23,5.3,1.2,92.3,8.2,1,83.3
20,3.7,1.2,88.5,7.7,9,82.7
17,7,3.3,88.4,6.1,6,94.8
22,4.1,1.1,82.3,7.5,8,80.8
24,3.8,3.3,72.8,6.9,2,58.3
21,3,3.1,73.8,8.3,7,66.3
24,3.7,0.4,92.1,6.6,6,87.9
21,3.3,1.7,85.2,7.7,2,60.5
18,4.6,3.9,83.6,9.7,2,84.8
23,4.9,1.3,80.8,7.2,4,77
21,2.3,1.9,81.9,6.6,4,61.7
24,1.5,3.1,95.5,7.4,3,44
18,0.7,3.4,81.6,6.1,8,42.4
17,4.3,2.2,71.6,9.4,7,88
20,1.8,1.8,92.4,6.7,2,48.7
20,0.3,4.2,83,6.2,3,26.8
20,4.1,4.6,85.3,5.5,10,81.6
21,7.2,3.7,100,7.8,9,100
17,3.5,2.6,84.8,7.5,5,74
21,4.8,1.5,87.9,5.9,2,78.4
23,3.6,1.5,73.2,7.2,3,70.7
21,3.4,3.1,82.8,4.7,8,74.3
17,4.9,3,91.1,6.7,4,67.6
17,3.1,4.2,69.4,7,2,64.7
23,3.9,3.3,87,8.5,2,64.1
17,4,0.7,86,5.6,6,83.5
24,2.5,3.8,85.4,5,8,63.4
17,5,1.3,95.4,5.4,7,96.2
20,3.2,2,88.3,4.9,4,65.4
24,2.4,2.8,99.8,8.1,2,62
24,4.3,4.9,75.1,8.4,9,74
23,2.2,6.2,86.4,6.9,4,46.7
19,3.5,3.2,85.8,8,9,75.5
19,3.5,2.3,74.3,6.7,5,78.1
17,5.1,3.1,94.6,6.4,7,85.2
24,4.2,3.6,100,6.1,5,75.4
19,3.5,2.1,84.8,6.1,2,64.2
19,4.7,4.7,90.1,4.6,6,69.7
17,5.6,2.8,85.8,6.8,7,90.3
19,4.3,3.1,77.9,6.5,6,81.4
21,3.5,3.3,66.8,7.4,3,65
18,1.5,3,77.9,6.6,10,57.3
23,1.9,3.5,71.1,6.3,8,57.7
18,3,1.8,100,5.5,3,56.7
17,2.6,1.8,83.8,6.6,5,62.3
20,3.2,1.2,81.5,7.4,9,77.9
23,3.6,3,93.9,5.1,5,65.2
17,4.3,3.4,73.8,6.6,7,76.8
24,3.4,3,77.3,6.8,7,83.8
20,4.2,4.5,85.7,5.6,5,70.6
18,3.6,2.5,95.3,5.8,2,63.1
17,0.5,3.3,90,6.8,5,39
24,2.1,1.2,87.5,5.1,7,66.7
23,3.3,2,85.8,6.9,7,72.2
23,1.7,3.3,89,5.4,4,50.1
22,4.4,3.5,87,7.8,1,62.4
24,5.8,2.1,74.7,9.3,6,96.6
21,5.3,2.4,85.5,5.5,3,85.8
19,3.2,0.7,74.3,7.1,5,68.3
20,5.7,2.1,85.8,5.6,4,83.8
24,3.7,3.6,80.2,7.7,2,69.3
22,3,3.2,100,5,7,65.3
19,2.6,3.1,84.6,7.1,5,77.5
19,3,2.6,71,5.5,7,55
17,2.9,2.5,83.7,6.3,9,65.2
19,3.8,1.7,90.2,5.3,4,58.1
21,3.7,3.3,100,7.5,5,69.2
23,3.5,3,79.1,5.5,9,67.4
22,4.2,3.1,69.2,7.2,10,79.9
19,5.3,1.9,93.2,6.1,4,85.7
17,4.9,0,71.2,6.4,5,96.2
21,1.3,3.8,80.6,6.7,5,40.4
18,0,1.9,82.4,5.6,8,55.2
23,4.9,1.5,84.3,6.8,4,73.8
23,1.4,3.3,91.9,8.3,4,46.5
22,3.2,2,78.2,5.6,7,60.5
23,1.7,3.8,82.3,7.9,5,55.4
19,0.8,3.2,84.9,8.3,6,45.1
17,4.3,3.3,86.5,5.5,6,69.4
23,4.6,0.9,86,4.8,6,81.3
23,2.6,4,89.4,6.9,10,66.6
18,0,2.8,93.4,5.8,5,26.7
18,2.7,2.1,88.9,8.7,5,64.5
20,4.1,2.7,89.5,6.5,9,87.1
21,1.3,0.4,69.2,5.5,8,42.2
19,3.8,3,85.5,5.1,4,61.6
23,3.5,1.3,89.8,7.8,7,81.9
24,4.4,0.9,92.3,5.8,8,96.5
23,3.7,0.7,78.1,6.6,9,85.1
17,2,3.8,78.4,7.6,5,58.5
20,5.3,1.7,79.3,5.9,3,78.4
21,3.3,4.3,90.4,6.4,4,56.4
24,3.5,1.9,95.3,6.5,10,92.6
20,2.1,0.5,80.9,7.3,6,62.3
22,2.8,1.2,94.1,7.2,10,75.8
21,2.2,4,86.2,6.2,5,47.1
23,3.2,2.3,83.8,6.6,9,66.3
23,6.1,1.8,82.9,6.1,3,98.3
21,1.4,2.7,92.5,4.7,2,29.7
23,1.1,3.1,88.3,6.8,6,45.5
19,5.7,3.8,100,8.8,7,100
21,3.2,4.2,76.5,5.4,5,67.5
20,2.5,2.1,90.2,5.6,1,60.3
21,5.1,0.9,79.7,5.5,3,87
24,2.6,2,76.3,7.4,3,48.5
23,6.2,2.8,84.9,7,4,100
19,4.5,1.3,86.4,6.3,10,82.1
19,2.8,1.4,100,5.4,6,63.7
22,6.7,2.9,83.2,6.6,5,100
20,2.6,2.4,73.7,4.6,1,41.9
18,4.6,2.5,87.7,6.7,6,72.7
18,3.9,1.6,64.3,7.5,9,74.3
21,5.5,2.2,84.1,5,1,88.7
22,5.8,1.4,85.2,4.7,8,96.6
17,3.5,3.6,92.9,8.4,8,72.6
21,2.4,3.7,94.7,5.8,3,52.4
22,4.2,0.3,80,7.9,9,100
20,2.5,1.4,83.5,6.3,8,73.1
20,6.5,0.7,77.3,6.3,3,100
20,3.7,1.7,73.7,7,10,80.8
20,3,2.4,88.1,5.4,5,62.9
20,3.8,0.8,72.3,6.7,3,71.5
22,1.5,1.4,80.9,6,5,46.2
22,2,1.3,75,4.9,9,53.8
19,5.3,2.7,90.5,6.9,4,74.2
24,2.5,2.6,100,6.2,6,52.5
18,1.9,1.6,72,6.3,3,51.2
23,4.3,2.7,66.5,5,3,60.6
20,5.3,1.8,83.8,8.4,5,91.5
17,4.6,2.2,85.2,7.6,8,87.3
23,5,4.5,87.2,7.7,8,98
22,2.4,4.1,80.5,6.1,3,47.9
17,1.4,0.9,83,4.4,8,51
17,5.8,3.5,88.7,8.8,8,90
17,3,3.5,95.4,6.4,3,54.1
19,3.1,1.1,65.4,5.6,10,58.4
22,5.5,3.5,81.3,7,10,100
17,4.3,4.3,87.1,7.9,2,65.2
20,4.2,1.2,75.8,6.5,10,85.3
21,6.7,1.4,100,8,2,93.8
17,2.5,3.7,78.6,7.8,9,78.8
19,4.9,2.8,84.6,5.2,7,85
23,3.6,3.2,90.6,5.7,6,64.5
22,3.9,2.9,79.1,7.6,7,71
24,5.8,3,66.5,3.2,8,90.8
19,4.3,0.9,80.7,6.3,1,72.6
17,4.3,3.8,95.3,4.8,8,70.9
22,5.1,3.9,81.6,5.9,3,65.1
21,3,2.2,76.5,6.1,3,49.1
17,2.2,2.4,94.3,6.1,6,62.7
19,1.9,0.7,81.7,5.8,4,51.5
18,0.6,3.1,79.9,5.2,4,18.4
20,6.6,3.2,86.5,9.3,4,100
24,1.8,2.4,92.7,8.7,10,53.3
23,3.2,3.8,100,5.1,9,76.1
19,3.1,2.1,93.3,8.4,8,85.6
22,4,3.2,96.6,6,3,63
24,4.7,1.3,79.9,6.7,1,73.6
24,4.8,2.5,74.7,6.4,1,76.2
24,2.6,2.3,85.6,5.7,1,45.5
17,3.2,2.8,86.1,7.7,4,58.6
20,3.9,2.1,74.2,6.7,6,77.8
17,3.1,2.3,83.2,5.9,4,61.5
22,5.9,3.5,89,4.9,3,71.4
17,4.2,2,88.6,5.4,8,93.9
18,4.6,0.6,90,4.5,8,85.9
20,4.5,4.6,87.9,6.5,6,73.8
20,5.3,4.2,79.9,5.1,9,83.3
22,3.8,0.9,79.9,6.2,10,79.7
23,1.6,3.3,73,8.1,1,47.1
18,4.1,1.9,100,7.9,8,91.9
19,2.5,2.8,85.1,6.5,6,60.6
17,2.7,2.9,82.8,6.4,1,46.6
21,4.4,2.2,75.7,8.8,4,84.2
17,5.4,1.6,100,7.1,5,95.5
24,3.5,1.7,74.3,6.1,7,73.5
17,4,1.4,80.7,4.8,8,75.9
19,6.1,1.5,89.2,7,9,100
17,3.9,2.4,91,7.5,6,74.2
18,7.4,1.6,94.6,5.7,10,100
18,4.3,3.3,100,6.8,9,94.9
20,0.9,4.3,90.1,6.1,4,27.6
22,4.6,1.8,74.4,6.3,8,86.2
23,4.1,2.8,82.4,3.5,3,60.1
21,5.4,3.1,88.1,6.2,4,91.3
24,4.5,3.1,100,7.7,10,93.8
17,3.3,2.6,71,5.7,4,61.6
17,1.7,3.4,97,6.6,6,41.7
19,3.2,3.1,86.8,5.6,9,74.5
22,2.2,1,93.4,6.9,6,63.7
18,2.6,3.5,84,6.2,1,39.6
21,4.4,3.6,76.6,5.4,5,87.5
20,6,1.6,92.5,8.1,9,100
18,4.1,2.5,91.5,7.6,5,75.4
24,1.7,3.3,94.7,5.8,6,61.5
22,4.2,2.2,84.9,7.1,3,73.3
24,5.3,3.8,79,7.1,8,96.3
23,2.6,5.3,69.4,7.3,10,67
20,3.3,1.6,93.2,4.5,4,70.1
23,3.5,0.8,89.2,7.7,4,84.2
19,2.3,2.9,75.3,5.8,5,48.9
24,4.5,3.4,79.6,6.1,10,98.8
19,3.3,2.2,80.3,9.7,9,76.1
17,4.1,4.2,70.2,6.9,8,80.4
23,2.2,0.9,76.8,6,7,64.1
22,2.8,3.3,73.7,3.9,5,59.4
24,4.6,1.8,80.9,8.2,9,94.2
21,2.9,4.6,77.6,4.9,9,67.8
20,6.1,4.9,68.7,5.3,10,96.1
18,2.9,1.6,100,6.1,10,70.2
22,3.8,1.8,97.5,8.2,2,84.2
22,4.9,3.5,77.2,7.4,4,75.4
19,1.4,2,87.7,6.3,8,41.7
23,0.9,2.4,89.2,6.9,1,23.1
24,1.2,2.5,96.9,5.8,5,50.3
24,5.4,0.2,76.8,6.7,8,100
17,2.7,2.5,95.9,6.6,2,52.2
17,7.3,1.7,79.5,7.7,2,100
20,2.7,1.9,71.6,7.7,8,71.2
19,3.8,4.2,92.2,7.1,10,72.3
22,5.8,1,97.9,6.1,9,100
24,6.5,3.5,100,7.4,7,100
21,6.6,2.2,73,6.4,8,100
19,5.3,2.2,92,5.2,5,93.1
20,5,3.4,80.9,6,1,67.7
20,4.4,2.9,92.8,6.6,4,77.9
19,4.7,3.2,70.3,7.6,2,80.3
20,2.7,3.7,72.4,6.3,3,44.3
19,2.3,2.1,77.2,5,3,54.7
18,3.5,1.8,85.8,6.6,9,85
19,3.2,1.2,78.6,6.6,10,81.7
23,2.8,1.5,91.6,6.7,4,71.6
19,4.5,6,95.3,7.6,2,73.7
20,4.9,4,91,7.7,3,77
24,3.6,0.9,100,5.8,3,72.3
23,5.7,0.9,89.2,5.8,7,100
20,1.8,3.1,72.8,5.3,8,54
17,3.2,3.2,98.6,7.3,6,70.4
17,2.4,3.2,78.9,8.2,4,47
24,0.7,2.2,94.1,6.1,6,48.7
24,3.4,2.3,100,6.2,1,47.6
23,3.3,2.9,89.6,8.3,10,81.1
18,5.8,2.6,70,7.1,8,100
24,4.4,0,75.8,7,1,81.9
17,2,2.2,98.2,5.1,5,56.3
19,6.3,1.5,83.3,7.3,2,100
20,5.3,2.7,85.8,5.4,6,81
17,4.4,6.1,92.6,5.1,9,84.9
17,3.2,2.9,92,6.1,5,67.9
18,2.1,2.1,87.8,5.8,4,56.9
23,2.9,3.6,82.9,6.2,2,45.9
23,5.1,3.1,81.9,4.8,3,76
22,6.3,3,93.6,7.7,6,94.8
18,5.8,3.2,90.5,7.9,8,99.3
19,2.8,5,82.4,4.2,8,71
23,1.8,1.1,95.8,7.7,5,70.9
20,3.7,3.1,83.7,5.5,5,59.8
24,0.8,1.4,76.5,7.5,10,36
18,4,3.2,77.4,6.4,3,68.4
24,3.3,1.4,75.2,6.5,7,72.9
17,2.8,2,82.3,6.3,6,57.3
20,1.1,2.1,97.3,8,1,50.3
20,4.3,3.7,76.9,5,4,65.7
17,2.7,3.6,86.9,7.2,6,67.9
18,1.7,1,78.4,7.8,6,63.6
17,0,2.6,82.4,7.4,3,32.9
24,3.5,1.6,69.9,9.3,6,67.7
22,6.2,1,82.8,5.9,10,100
20,6,2.2,83.1,7.6,6,96.8
21,2.8,2.1,90.4,6.4,9,71
21,2.6,5.4,87.2,8,9,59.8
24,4.2,3,73,6.5,2,64.2
19,2,0.8,95.8,6,4,45.2
23,4,1.8,87.1,8.1,9,82.9
17,4.6,3.7,87,5.9,4,73.2
17,5.3,5,84.9,4.8,8,79.6
19,3.3,0.6,79.8,5.9,10,73
19,3.2,0.2,87.2,7.2,3,72.6
24,2.2,4.7,89.8,8.2,3,45.2
24,2.3,3,67.5,6.6,9,51.8
19,3.2,1.5,79.6,8.1,10,92
20,4.1,3.1,82.5,4.9,8,77.8
24,4.9,0,87.6,6,1,97.2
22,2.3,2.5,96.9,6.2,10,71.9
24,5.7,2.9,77.3,6.4,2,69.1
17,3.1,3.6,80,6.6,3,59.6
24,3.5,1.3,79.9,7.3,2,60.4
20,2.4,2.6,77,6,3,48.3
19,0,1.4,81.5,6.7,8,50.1
17,4.8,2.8,92.7,6.4,6,74.9
24,4.6,1.4,74.5,5.4,7,85.6
20,3.1,2,89.3,6.4,10,65.4
22,3.6,1.3,68,6.3,10,82.4
24,4.3,3.3,79.4,6.3,6,67.3
20,1.2,3.5,81.7,6.5,1,34.3
22,2.7,2.2,100,6.6,3,53
19,4.7,2.5,82.3,6,1,78
24,1.6,0.8,63,8,10,58.2
22,3.9,2.1,65,5.1,9,73.7
17,1.5,2.4,85.3,5.6,9,60.3
19,4.2,5.6,91.1,9.8,5,78.7
17,3.4,1.2,88.8,5.3,4,68.3
21,1.1,4.3,86.7,4.9,9,49.9
18,5.2,3.7,96.6,7.4,9,100
24,2.4,2.8,79.6,4,3,54.7
22,2.3,4.6,93.9,6.2,5,58.7
18,3.8,2.9,68.7,9.1,3,70.8
18,5.2,3,76,4.6,10,87.1
22,2,2.4,66.9,4.1,2,29.5
19,3.6,4,82.3,4.7,1,53.2
24,4.1,3.8,84.5,7.6,10,73
21,4.5,1.7,86.1,7.8,2,71.1
17,3.8,0.9,85.6,5.9,8,80.9
20,2.9,2.3,75.7,7.3,8,75.1
17,2.3,1.5,83.1,8.2,3,52.4
20,3.6,2.4,70,8.6,7,67.6
17,1.9,4,98.6,6.2,7,35.7
22,0,2,82,3.7,2,29.9
21,4.2,2.4,80.1,5.5,9,70.7
24,4.9,2.6,100,6,3,89.3
20,0,3.5,72.6,6.2,2,26.2
24,2,0,73.7,6.3,3,58.3
24,4.4,1.8,74,7.8,2,78.4
24,6.6,2.8,84.3,8,8,100
23,3.5,3.9,89.3,6.3,5,66.8
19,2.4,1.9,92.4,7.8,3,63.8
17,3.2,0.2,100,6.9,5,76.1
24,5.6,3.2,62.5,6.6,8,82.7
17,2.5,1.7,91.1,7.6,7,65
24,2.3,1.1,79.4,6.6,6,66.8
20,2.8,1.8,79.1,9,1,64.9
19,2.1,2.3,78.8,4.8,10,63.1
19,3.7,1.8,75.9,5.9,1,56.3
22,5.9,0,100,6.3,1,93.6
23,4,3.6,93.4,7,10,91.9
22,3.1,4,85.2,8,8,74
22,3.1,3.3,98.5,6.5,8,62.7
22,1.2,1.1,69.9,4.8,7,58.6
22,4.8,2.3,71.7,7.5,6,89.3
22,3.4,2.5,63.2,7.4,4,63.4
21,3.2,3.2,78,4.2,1,46.7
19,8.3,3.3,86.6,6.5,9,100
22,3.9,1.6,86,4.6,1,68.7
24,2.4,2.6,86.5,5.7,4,58.9
19,2.9,3,70.9,5.4,3,59
19,5.2,4.2,93,7.5,7,77.9
18,3.7,3.3,87.4,6.6,5,72.3
21,1.3,3.4,92.3,5,5,49.7
22,4.9,2.6,66.1,7.6,4,80.9
17,2.5,4.2,88.1,4.8,1,44.5
20,6.3,3,73.1,6.9,5,85.3
23,5.1,1.5,81,5.5,4,83.2
24,2.8,4.2,90.3,6.1,10,59.7
17,5.4,3.3,85.9,7.1,8,98.1
21,3.6,2,76.5,7.1,2,66.8
20,4.8,1.9,85.1,8.1,8,96.1
21,4.2,2.9,69.7,6.4,1,60.4
24,2.2,3.1,96.5,6.9,4,33.8
19,2.5,2.7,82.9,6,3,56.1
20,5,2.9,96.2,6.7,5,80.6
19,3,4.5,79.7,7,5,52.6
24,2.9,3.8,79.8,6.4,5,52.1
17,2.1,2.7,77.4,4.3,4,39.9
24,4.1,3.6,93.8,6.9,8,84
17,6.6,1.3,77.9,6.9,3,97.7
20,1.9,3,91.4,5.7,4,43.3
20,3.5,4.7,81.2,5,1,55.9
22,5.6,2.2,65.2,8.3,7,84.6
21,3.4,1.5,79.3,7.1,1,67
22,4.2,1.7,73.2,6.2,2,76
21,1.9,1.2,85.3,5.1,7,56.9
22,4.1,1.6,73.1,5.5,1,77.5
19,3.2,2.1,94.3,8.1,3,69.4
20,5,0.8,84.1,6.7,6,94.6
17,5.3,2.5,83.2,5.8,6,93.4
21,7.4,3.6,91.6,7.1,6,100
24,4.4,1.4,94.6,5.5,2,63.6
21,4,4.3,84.8,8.3,2,53
17,3.8,3.1,77.3,8.1,6,67.8
22,3,3.7,67.3,5.9,10,73.9
21,4,1.7,78.1,5.7,5,66.5
23,3.1,3.5,78.8,3.4,7,49.9
19,3.8,1.2,86.1,4.7,7,73.9
20,5.5,3.6,81.5,4.9,5,80.3
17,2,2.7,91.9,6.7,8,71.7
20,5.2,3.2,78.9,6.1,10,83.3
23,5.5,1.1,84.4,4.9,6,84.5
21,3.3,1.4,96.8,6.2,5,74.9
21,0.3,3.2,88.4,7.1,4,34
24,2.6,1.4,84.4,7.1,7,63
23,5.4,3.1,79,4.2,4,77.9
17,3.5,0.9,78.7,6.3,5,72.9
24,2,3.5,76.5,4.8,5,53.2
19,2.7,1,79.6,7.6,1,57.3
24,4.8,3.2,92.6,7.4,1,76.6
18,4.3,3.3,82.8,5.4,3,64.6
17,3.1,1.7,71.5,5.6,3,51.1
18,2.9,3.2,100,5.9,2,63
23,2.9,2.8,88.2,3.8,2,61.6
22,2.1,1.9,70.9,6.9,6,62.5
18,5.9,1.3,80.6,6.2,1,87.1
19,3,0.1,86.1,7.7,6,82.5
24,5.3,2.9,100,5.2,5,80.9
22,5.8,0.6,73.9,5.8,6,100
24,5,2.6,94.8,4.7,5,79.6
18,2.9,2.2,99,5.3,7,71.2
24,4.1,3.3,78.7,5.1,1,62.7
23,3.5,2.1,82.2,7.7,3,64.2
22,2.1,2.1,74.6,5.7,6,44.1
23,4,3.4,83,6.6,1,61.7
18,1.7,2.9,84.6,6,7,39.9
23,5.3,2.9,91.6,5,4,84.1
19,2.8,3.1,95.9,6.3,3,40.7
18,3.8,0.7,77.5,7.2,10,81.8
18,3.9,3.4,65.3,5.1,9,77
18,3.1,3.2,84.8,7.5,1,65.7
17,4.4,1.3,87.9,5.5,8,80.9
24,2.8,2.2,87.5,5.9,1,47.4
17,4.8,2.5,81.7,7.1,5,83
17,1.5,2.3,86.2,5.7,10,54.2
19,3.7,2.9,100,6.5,8,82.5
22,6.4,4.2,88.8,6.1,6,85
24,2,3.8,81.3,6.7,7,40.4
23,2.5,0.9,80,3.6,8,58.9
21,4.3,3.2,83.3,4.3,6,67.5
18,3.8,4.1,100,7.2,6,81
23,4,3,83.2,7.7,6,74.7
18,4.2,3.8,84.8,5.4,5,67.4
19,4.5,4.9,80.2,6.2,8,72.2
18,5.2,3.7,96,6.9,2,77.1
17,4.1,2.8,100,7.3,7,87.9
24,3.1,3.8,89.5,4.1,4,54.1
21,4.5,2.7,85.8,5.4,1,62.9
20,6.3,2.5,85.4,6.1,5,95.6
18,3.3,2.1,61.2,7.3,3,67.1
23,2,4.4,92.5,9.5,4,51.5
17,5.2,1.5,86.3,6.2,7,97.9
20,3.3,4.3,89.3,4.8,5,67
21,0.2,3.1,77.9,7,4,31.5
20,4.8,0.8,81.2,8.1,1,88
17,2.7,2.9,80.9,6.6,6,53.4
24,3.4,0,95.2,5.4,10,83.4
24,4,3.3,81.2,7.6,6,79
22,3.8,3.6,100,7.3,7,69.9
24,4.6,1.8,89.3,5.3,1,60.1
22,2.8,2.6,72.2,7,4,70.3
20,4.3,4.8,83.7,7.7,9,79.8
19,3.1,1.9,78.5,7.9,10,66.6
23,4.6,1.2,63.1,6.4,6,91.7
23,4.4,4.3,100,6.1,2,70.1
20,2.1,4.9,92,8,4,61.5
18,5.1,2.5,90.3,5,6,79.3
18,2.7,3.7,86.7,7,4,63.9
24,4.7,4.1,71.2,4.9,10,93.1
23,4.1,1.6,80.2,7.8,7,89.8
23,6.3,1.9,93.4,6.2,3,100
22,3.2,4,74.5,8,6,61.8
19,3,4.5,59.7,7.1,4,51.5
17,3.5,3.2,82.7,5,3,60.4
18,3,1.4,83.6,8.2,3,67.2
23,4.7,4.9,86.4,8.4,2,89.6
22,1.1,1.9,92.3,7.6,3,48.3
21,1.9,2.1,91.4,5.6,10,61.7
22,1.9,2.9,87.6,6.1,1,44.4
18,4.9,4.4,97,6.7,3,77.2
18,6.1,3.5,69.8,5.7,9,100
22,3.3,3,90,8.5,4,73
17,3.2,3.1,91.3,6.7,3,68.5
20,3.6,2.6,72.6,3.3,8,61
18,5.2,3.2,70,6.9,1,70.5
22,2.1,0,77.5,6.1,5,52.5
23,3.9,2.1,78.4,6.4,1,62.8
22,5,2.8,92.5,6.1,7,83.5
19,4.3,1.1,78.9,7.5,5,71.4
20,3.8,3,76.4,7.8,2,61.5
21,5,2.3,78.9,6.8,1,75.4
17,0,4.6,96.2,6.1,7,42
24,4.5,4.4,85.1,6.5,1,64
21,2.5,1.9,83.2,6.5,3,60.1
20,0.8,2.3,83.9,5.5,6,34.7
20,4.3,2.4,97.9,7.2,6,88
20,5.6,2,77.5,7.1,7,100
21,3.3,2.7,98.2,8.3,1,66.1
23,4.9,1.6,87.1,8,7,95.5
20,5.9,1.1,83.4,5.7,2,86.4
22,5.5,3.2,100,7.5,6,77.3
21,6,3.3,74.4,5.4,8,90.2
24,4.6,1.5,81.5,7.3,5,80.2
20,3.6,3.6,72.7,5.9,10,72.9
22,1.1,1.7,94.5,5.3,3,35.8
23,3.1,2.8,100,6.8,8,72.8
19,2.2,3.5,100,3.3,8,67.6
23,6.8,2.5,97.2,4.4,4,93.1
24,3.2,3,83,6.3,8,57.5
20,3.7,1.9,81.3,6.6,5,61.1
24,4.3,2.3,68.3,6.1,5,77.4
21,3.6,2.3,100,4.6,3,69.6
18,6,1.6,89.7,5.5,7,100
